"Corporate, Commercial
& Institutional Banking","Consumer, Private
& Business Banking","Central &
other items",Total
"7,383,388","9,602,826","4,795,971","21,782,185"
"5,974,735","5,290,026","45,988","11,310,749"
"13,358,123","14,892,852","4,841,959","33,092,934"
"(6,364,115)","(8,168,470)","(542,334)","(15,074,919)"
"6,994,008","6,724,382","4,299,625","18,018,015"
"39,883","(928,702)","104,196","(784,623)"
-,"(130,193)",-,"(130,193)"
"7,033,891","5,665,487","4,403,821","17,103,199"
