Column,Level 1,Level 2,Level 3
"Fair value
determined
using:","Unadjusted quoted prices
in an active market for
identical assets and
liabilities","Directly or indirectly
observable inputs other
than unadjusted quoted
prices included within
Level 1 that are
observable","Significant inputs for
the asset or liability
that are not based on
observable market
data (unobservable
inputs)"
"Types of
financial
assets:","Actively traded
corporate or other
debt","Cash and balances at
central banks
Loans to banks and
other financial
institutions","Loans and advances to
customers
Illiquid or highly
structured corporate
bonds
Illiquid loans and
advances"
"Types of
financial
liabilities:","Quoted debt securities
in issue
Quoted subordinated
liabilities","Unquoted debt
securities in issue
Unquoted subordinated
liabilities
Time deposits by
customers
Deposits by banks","Illiquid or highly
structured debt
securities in issue"
