Column,"Weighted
average
effective
interest
rate %",Column,Column,"Up to 1
month",Column,"1 –3
months","3 –12
months",Column,"1 –5
years",Column,Column,"Over
5 years","Non-
interest
bearing",Total
"ASSETS
Cash and balances
with Central Bank of Kenya
Government and
other securities held at FVTPL
Derivative financial
instruments
Loans and advances
to banks
Loans and advances
to customers
Investment securities
Other assets –
uncleared effects
Amounts due from","–
11.94
–
2.25
10.40
10.02
–",,,"–
–
–
7,469",,"–
–
–
–","–
–
–
–",,"–
280
–
–",,,–,"20,621
50
810
265
9,187
102
547","20,621
1,939
810
7,734"
,,,,,,,,,,,280,"1,609",50,
,,,,,,,,,,,,"–
–",,
,,10.40,,"28,742",,"15,139","5,122",,"46,973",,,"23,527","9,187","128,690"
,,,,,,,,,,,,,,"96,564
547"
,,10.02,,"2,000",,"15,500","48,474",,"27,484",,,"3,004",102,
,,,,–,,–,–,,–,,,–,,
group companies,3.66,,,,,,,,"7,600",,,–,"4,275","33,118"
,,,3.66,"16,175",,"2,027","3,041",,"7,600",,,,,
"LIABILITIES
Deposits from banks
Deposits from customers
Derivative financial
instruments
Other financial liabilities
–Bills payable
–Lease liability
Amounts due to
group companies","3.48
2.03
–
–
–
1.93",,,"54,386
8,028",,,,,,,,,,
,,,,,"54,386","32,666","56,637",,"82,337",,,"28,140","35,857","290,023"
,,,,,,–,–,,"–
2,577
–
–",,,"–
–
–
–
395","–
126,925
603
685
–
5,041","8,028"
,,,2.03,"72,096",,"8,057","18,779",,"2,577",,,,,"228,434"
,,,,"–
–
–
–",,"–
–
–
–","–
12
–",,,,,,,"603
685
716
11,122"
,,,,,,,,12,309,,,395,,
,,,,,,,,,"4,054",,,,,
,,,,,,,,,,"4,054",,"2,027","5,041",
,,,,"80,124",,,,,,,,,,
,,,,,"80,124","8,057","18,791",,"6,940",,,"2,422","133,254","249,588"
"Interest rate
sensitivity gap",,,,,,,,,,,,,,
,,,,"(25,738)",,"24,609","37,846",,"75,397",,,"25,718","(97,397)","40,435"
