Column,Column,Right-of-use asset,Column,Column
"Premises
KShs '000","Equipment
& Motor
vehicle
KShs '000","Leased
land
KShs '000","Leased
premises
KShs '000","Total
KShs '000"
"4,833,150","2,896,392","277,578","700,692","8,707,812"
"347,620","330,765",–,"78,254","756,639"
"(151,956)","(305,598)",–,"(20,028)","(477,582)"
"35,609","(35,609)",–,–,–
"(17,000)",-,(118),–,"(17,118)"
-,"(57,892)",–,–,"(57,892)"
"5,047,423","2,828,058","277,460","758,918","8,911,859"
"2,837,379","2,382,284","54,583","464,048","5,738,294"
"137,316","119,025","18,051","110,093","384,485"
"(148,028)","(305,599)",–,"(13,127)","(466,754)"
(335),–,(103),–,(438)
"2,826,332","2,195,710","72,531","561,014","5,655,587"
"2,221,091","632,348","204,929","197,904","3,256,272"
