Area of Focus,"Key Issues
The Committee:"
"Embedding Third
Party Risk
Management","• Continued its focus on managing third-party risk to safeguard the
Company from potential disruptions caused by third-party relationships."
"Operations and
Technology Risk","• Regularly reviewed reports on the Company’s technology risk profile, as well
as reports on cybersecurity risks. The Committee also maintained a strong
focus on monitoring obsolescence risk and mitigations to the risks arising
and the remediation plans in place."
Traded Risk,"• Endorsed the refreshed Traded Risk Type Framework as well as the Markets
policies and standards for Board approval. The Committee also received a
report on the status of key Financial Markets control metrics for assurance
on their effectiveness."
Treasury Risk,"• Received reports from the Chief Financial Officer at each scheduled
meeting, which covered the Company’s capital and liquidity position to
ensure that there was sufficient capital, liquidity or funding to support the
Company’s operations in line with regulatory requirements."
"Committee
Effectiveness Review","Overall, the Committee effectiveness review revealed strong performance in
the following areas:
- Assessment of the Bank’s ability to deliver on the strategy.
- Oversight of the Enterprise Risk Management Framework.
- Evaluation of major initiatives/projects.
- Receipt of well-structured reports.
- Strong member skills and effective communication with the Board.
Areas for improvement were identified, and actions have been taken to
enhance the Committee’s effectiveness."
