2021,"2020
KShs '000",2021
KShs '000,,KShs '000
"23,700,451","20,619,064","23,700,451"
"4,601,367","4,948,175","4,601,367"
"465,879","738,526","465,879"
"2,429,051","7,533,196","2,429,051"
"125,974,590","121,524,227","125,974,590"
"91,014,905","94,852,653","91,014,905"
"1,007,877","441,196","913,568"
"3,889,531","2,776,769","3,828,722"
"71,991,928","62,756,124","72,303,668"
-,-,"145,243"
"222,000","222,000","222,000"
"3,196,034","3,633,942","3,196,034"
"3,898,841","3,022,992","3,898,841"
"2,479,484","2,536,206","2,417,167"
"334,871,938","325,605,070","335,111,486"
"383,214","453,628","383,214"
"265,469,114","256,497,530","265,469,114"
"359,808","647,839","359,808"
"5,420,352","5,743,331","5,398,074"
"9,631,154","11,208,987","10,714,736"
"361,913",-,"274,868"
"32,277","163,717","32,277"
"281,657,832","274,715,032","282,632,091"
"9,961,680","9,961,680","9,961,680"
"4,576,794","4,912,730","4,576,794"
"33,301,033","31,880,197","32,566,322"
"5,374,599","4,135,431","5,374,599"
"53,214,106","50,890,038","52,479,395"
"334,871,938","325,605,070","335,111,486"
