At 1 January 2022,Awarded,Exercised,Lapsed,At 31 December 2022,Vesting date
"29,488",,,,,
"36,008",,,,,
"1,807",,,,,
"2,012",,,,,
"2,389",,,,,
"1,737",,,,,
