Segment,CCIB,Column,Column,Column,Column,Column,Column,Column,Column
,FY'23,FY' 22,∆YoY,FY'23,FY' 22,∆YoY,FY'23,FY' 22,∆YoY
NII,11.2,7.6,47%,13.8,9.8,41%,4.3,4.8,(10%)
Non-NII,8.2,6.0,37%,6.7,5.8,16%,(2.5),-,(100%)
Revenue,19.4,13.6,43%,20.5,15.6,31%,1.8,4.8,(63%)
Expenses,(7.8),(6.6),(18%),"(5,751%
(9.6)",")
(8.5)",(13%),(1.3),(0.4),(225%)
ECL,(2.1),-,(100%),(1.3),(1.4),7%,-,-,-
PBT,9.5,7.0,36%,9.6,5.7,68%,0.5,4.4,(89%)
Customer loans,90.7,69.2,31%,72.5,70.2,3%,,,
Customer Deposits,175.4,135.9,29%,167.5,143.0,17%,,,
Assets to Deposits,52%,51%,1%,43%,49%,(6%),,,
"Revenue
Contribution",47%,40%,,49%,46%,,4%,14%,
PBT Contribution,48%,41%,,49%,33%,,3%,26%,
