edarT stnegnitnoC 000‘shSK,"024,799,4","731,505,43","755,205,93"
segrahceR 000‘shSK,"622,635,1","662,066,2","294,691,4"
"dna noissimmoc emocni 000‘shSK
eef
teN","304,832","801,5","115,342"
tseretnI esnepxe 000‘shSK,"605,963","143,43","748,304"
tseretnI emocni 000‘shSK,"377,846,1","520,731","897,587,1"
edarT stnegnitnoC 000‘shSK,"024,799,4","731,505,43","755,205,93"
segrahceR 000‘shSK,"622,635,1","640,089,2","272,615,4"
"dna emocni 000‘shSK
eef
teN noissimmoc","304,832","801,5","115,342"
"esnepxe 000‘shSK
tseretnI","605,963","923,71","538,683"
"emocni 000‘shSK
tseretnI","377,846,1","520,731","897,587,1"
