2023,Column,Column,Column,Column,Column,Column,Column
,,Customer,,,,,
Banks,"Corporate,
Commercial
&
Institutional
Banking",,"Consumer,
Private &
Business
Banking","Central
& other
items","Customers
total","Undrawn
commitments","Financial
guarantees
and letters
of credit"
"3,963,423","87,654,053",,"66,588,406",–,"154,242,459","35,775,853","67,718,780"
"3,963,423","38,655,727",,"6,141,921",–,"44,797,648","14,506,554","56,369,574"
–,"48,998,326",,"60,446,485",–,"109,444,811","21,269,299","11,349,206"
–,"3,346,818",,"3,524,244",–,"6,871,062","3,431,271","1,833,420"
–,–,,–,–,–,–,"352,453"
–,"904,994",,"1,715,590",–,"2,620,584","2,709,212","802,682"
–,"2,441,824",,"1,808,655",–,"4,250,478","722,059","678,285"
–,–,,–,–,–,–,–
–,"3,346,818",,"3,524,245",–,"6,871,062",–,–
–,"7,210,820",,"4,612,275",–,"11,823,095","11,422","268,291"
"3,963,423","98,211,691",,"74,724,925",–,"172,936,616","39,218,546","69,820,491"
"(5,645)","(185,085)",,"(485,171)",–,"(670,256)","(29,820)","(5,454)"
"(5,645)","(55,437)",,"(462,522)",–,"(517,959)","(10,090)","(1,777)"
–,"(129,648)",,"(22,649)",–,"(152,297)","(19,730)","(3,677)"
–,"(616,180)",,"(760,048)",–,"(1,376,228)","(57,696)","(18,540)"
–,–,,–,–,–,(26),(23)
–,"(24,316)",,"(265,776)",–,"(290,092)","(30,316)","(16,050)"
–,"(591,864)",,"(494,272)",–,"(1,086,136)","(27,354)","(2,467)"
–,"(5,594,780)",,"(2,133,575)",–,"(7,728,355)",–,(77)
"(5,645)","(6,396,045)",,"(3,378,794)",–,"(9,774,839)","(87,516)","(24,071)"
"3,957,778","91,815,646",,"71,346,131",–,"163,161,777",,
0.1%,0.2%,,0.7%,0.0%,0.4%,0.1%,0.0%
0.1%,0.1%,,7.5%,0.0%,1.2%,0.1%,0.0%
0.0%,0.3%,,0.0%,0.0%,0.1%,0.1%,0.0%
0.0%,18.4%,,21.6%,0.0%,20.0%,1.7%,1.0%
0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%
0.0%,2.7%,,15.5%,0.0%,11.1%,1.1%,2.0%
0.0%,24.2%,,27.3%,0.0%,25.6%,3.8%,0.4%
0.0%,77.6%,,46.3%,0.0%,65.4%,0.0%,0.0%
0.1%,6.5%,,4.5%,0.0%,5.7%,0.2%,0.0%
"3,957,778","91,815,646",,"71,346,130",–,"163,161,777",,
