2020,Column,Column,Column
Stage 1,Stage 2,Stage 3,Total
757,651,"6,436","7,844"
3,32,62,97
158,(158),-,-
(122),130,(8),-
-,(263),263,-
547,-,-,547
(374),"1,111","2,486","3,223"
-,-,(403),(403)
-,-,"(1,750)","(1,750)"
-,-,(362),(362)
969,"1,503","6,724","9,196"
