Column,Fair value,Column,Column,Column
"Carrying
value
KShs '000","Level 1
KShs '000","Level 2
KShs '000","Level 3
KShs '000","Total
KShs '000"
"32,339,549",-,"32,339,549",-,"32,339,549"
"1,157,643",-,"1,157,643",-,"1,157,643"
"151,647,379",-,-,"151,647,379","151,647,379"
"78,564,954",-,-,"78,564,954","78,564,954"
"6,094,750",-,"6,094,750",-,"6,094,750"
"269,804,275",-,"39,591,942","230,212,333","269,804,275"
"306,862",-,"306,862",-,"306,862"
"295,690,089",-,-,"295,690,089","295,690,089"
"8,087,854",-,-,"8,087,854","8,087,854"
"429,326",-,-,"429,326","429,326"
"304,514,131",-,"306,862","304,207,269","304,514,131"
