Abbreviation,Description
AfCFTA,African Continental Free Trade Agreement
ASEAN,Association of South East Asian Nations
ATM,Automated teller machine
AUM,Assets under management
n,Billions
CAGR,Compound annual growth rate
CAR,Capital adequacy ratio
CASA,Current Accounts and Savings Accounts
EPS,Earnings per share
X / Forex,Foreign exchange
G10,The Group of Ten
GDP,Gross Domestic Product
K,Thousands
KES,Kenya shilling
mn,Millions
NFI,Non funded income
NSE,Nairobi Securities Exchange
SC / SCB,Standard Chartered
SCBK,Standard Chartered Bank Kenya Limited
SME,Small to Medium Enterprise
YoY,Year-on-year
