2025,Column,Column,Column,Column
,,Right-of-use assets,,
"Premises
KShs ‘000","Equipment
& Motor
vehicle
KShs ‘000","Leased
land
KShs ‘000","Leased
premises
KShs ‘000","Total
KShs ‘000"
"5,047,423","2,828,058","277,460","758,918","8,911,859"
"10,260","305,194",–,"335,870","651,324"
"(87,342)","(90,263)",–,"(66,474)","(244,079)"
"(3,068,396)","(31,314)","(115,366)",–,"(3,215,076)"
"1,901,945","3,011,675","162,094","1,028,314","6,104,028"
"2,826,332","2,195,710","72,531","561,014","5,655,587"
"149,053","160,096","2,357","139,110","450,616"
"(61,942)","(89,219)",–,"(44,747)","(195,908)"
"(1,749,278)","(22,524)","(32,154)",–,"(1,803,956)"
"1,164,165","2,244,063","42,734","655,377","4,106,339"
"737,780","767,612","119,360","372,937","1,997,689"
