"Treasury bonds
KShs‘000","Equity shares
KShs‘000","Total
KShs‘000"
"4,580,708","20,659","4,601,367"
"10,521,658",-,"10,521,658"
"(13,932,968)",-,"(13,932,968)"
-,552,552
"(203,678)",-,"(203,678)"
"965,720","21,211","986,931"
