"2023
KShs ‘000","2022
KShs ‘000","2023
KShs ‘000"
"42,901,755","23,257,306","42,901,755"
"5,768,468","986,931","5,768,468"
"925,051","400,494","925,051"
"3,957,778","428,089","3,957,778"
"163,161,777","139,412,560","163,161,777"
"63,834,200","104,731,162","63,834,200"
"1,185,327","1,022,677","1,052,843"
"6,124,762","3,495,946","6,047,186"
"129,253,610","96,121,186","129,675,405"
–,–,"145,243"
"198,600","222,000","198,600"
"2,969,518","2,960,732","2,969,518"
"5,016,586","4,103,224","5,016,586"
"3,664,743","4,117,708","3,624,168"
"428,962,175","381,260,015","429,278,578"
"4,327,045","13,480,464","4,327,045"
"342,853,241","278,879,309","342,853,241"
"1,109,841","319,575","1,109,841"
"9,333,178","16,975,059","9,312,375"
"9,757,711","12,717,385","10,368,876"
–,"2,655,065",–
"48,892","96,428","48,892"
"367,429,908","325,123,285","368,020,270"
"9,961,680","9,961,680","9,961,680"
"1,976,684","4,201,995","1,976,684"
"40,818,649","35,842,755","40,544,690"
"8,775,254","6,130,300","8,775,254"
"61,532,267","56,136,730","61,258,308"
"428,962,175","381,260,015","429,278,578"
