Column,"Share capital
KShs
million","Share premium
KShs
million","Capital
contribution
reserve
KShs
million","Revaluation
reserve
KShs
million","Fair value
reserve
KShs
million","Statutory credit
risk reserve
KShs
million","Retained
earnings
KShs
million","Proposed
dividends
KShs
million","Total
KShs
million"
"At 1 January
Profit for the year
Transfer from statutory credit risk reserve","1,998","7,792","1,931",732,903,"1,477","27,691","5,237","47,761"
,-,-,-,-,-,-,"5,441",-,"5,441"
,-,-,-,-,-,(508),508,-,-
"Other comprehensive income
Re-measurement of retirement benefit obligations 35
Related deferred tax 29
Change in fair value of FVOCI investments
Related deferred tax
Change in fair value of FVOCI investments reclassified to income statement
Related deferred tax
Revaluation surplus
Related deferred tax 29
Excess depreciation transfer
Related deferred tax 29
Impairment on FVOCI investments
Related deferred tax
Impairment on FVOCI investments reclassified to income statement 20(d)
Related deferred tax 29",,,,,,,,,
,-,-,-,-,-,-,(18),-,(18)
,-,-,-,-,-,-,5,-,5
,-,-,-,-,432,-,-,-,432
,-,-,-,-,(129),-,-,-,(129)
,-,-,-,-,(78),-,-,-,(78)
,-,-,-,-,23,-,-,-,23
,-,-,-,249,-,-,-,-,249
,-,-,-,(72),-,-,-,-,(72)
,-,-,-,(13),-,-,13,-,-
,-,-,-,4,-,-,(4),-,-
,-,-,-,-,21,-,-,-,21
,-,-,-,-,(6),-,-,-,(6)
,-,-,-,-,(9),-,-,-,(9)
,-,-,-,-,2,-,-,-,2
Total other comprehensive income,-,-,-,168,256,-,(4),-,420
,-,-,-,168,256,(508),"5,945",-,"5,861"
"Transactions with owners, recorded directly in equity
Bonus share issue
Withholding tax on bonus share issue
Share-based payments – 2019 paid
– 2020 accrual
Dividends paid – Ordinary shares (final 2019)
– Preference shares (final 2019)
Proposed dividends - Dividend adjustment (2019)
– Ordinary shares 15
- Preference shares 15",,,,,,,,,
,171,-,-,-,-,-,(171),-,-
,,,,,,-,(24),-,(24)
,-,-,(107),-,-,-,-,-,(107)
,-,-,61,-,-,-,-,-,61
,-,-,-,-,-,-,-,"(2,576)","(2,576)"
,-,-,-,-,-,-,-,(85),(85)
,-,-,-,-,-,-,"2,576","(2,576)",-
,-,-,-,-,-,-,"(3,967)","3,967",-
,-,-,-,-,-,-,(168),168,-
Total contributions by and distributions to owners,171,-,(46),-,-,-,"(1,754)","(1,102)","(2,731)"
At 31 December,"2,169","7,792","1,885",900,"1,159",969,"31,882","4,135","50,891"
