"2025
KShs '000","2024
KShs '000","2025
KShs '000",Column
"32,827,083","38,815,684","32,827,083",
"(3,935,241)","(5,550,381)","(3,952,314)",
"28,891,842","33,265,303","28,874,769",
"10,196,132","9,193,627","7,477,288","7,374,939"
"(3,464,230)","(2,530,268)","(3,464,230)","(2,530,268)"
"6,731,902","6,663,359","4,013,058",
"3,420,248","8,266,151","3,420,248","8,266,151"
"2,721,071","3,246,460","2,721,071","3,246,460"
"6,141,319","11,512,611","6,141,319",
–,–,"1,763,777",
"121,719","(1,174,095)","121,719",
"41,886,782","50,267,178","40,914,642",
"(11,477,870)","(9,433,617)","(11,351,208)","(9,312,745)"
"(935,728)","(866,127)","(932,832)","(863,388)"
"(9,347,482)","(8,273,718)","(8,927,566)","(7,801,504)"
"(1,509,123)","(1,420,626)","(1,509,123)","(1,420,626)"
"(23,270,203)","(19,994,088)","(22,720,729)",
"18,616,579","30,273,090","18,193,913",
"(1,741,525)","(1,763,610)","(1,741,525)",
"(38,360)","(301,244)","(38,360)",
"16,836,694","28,208,236","16,414,028",
"(4,400,123)","(8,147,649)","(3,785,260)",
"12,436,571","20,060,587","12,628,768",
32.47,52.65,32.98,
