"2022
KShs‘000","2021
KShs‘000","2022
KShs‘000",Column
"12,057,935","9,043,839","12,436,924",
"(57,121)","(8,014)","(57,121)","(8,014)"
"17,136","2,404","17,136","2,404"
"(39,985)","(5,610)","(39,985)",
"(1,732,592)","(845,227)","(1,732,592)","(845,227)"
"519,777","253,568","519,777","253,568"
"(167,769)","(45,561)","(167,769)","(45,561)"
"50,330","13,669","50,330","13,669"
"(96,375)","13,023","(96,375)","13,023"
(195),"(24,946)",(195),"(24,946)"
"28,972","3,576","28,972","3,576"
"(1,397,852)","(631,898)","(1,397,852)",
"(1,437,837)","(637,508)","(1,437,837)",
"10,620,098","8,406,331","10,999,087",
