STATEMENT OF COMPREHENSIVE INCOME,Column,Column,Column,Column,Column
,,"12,309,387
9,555,744
1,439,857
416,551",,,
,"11,795,572",,"11,795,572",,
,"9,153,619",,"9,153,619",,
,"1,309,460",,"1,309,460",,
,"25,900",,"25,900",,
,"22,284,551","23,721,539","22,284,551",,
,,"4,235,951
82,533
316,704",,,
,"3,148,625",,"3,121,588",,
,"80,299",,"80,299",,
,"273,240",,"273,240",,
,"3,502,164","4,635,188","3,475,127",,
,"18,782,387","19,086,351","18,809,424",,
,,"272,288
2,996,858
2,606,960
624,095
1,181,307",,,
,"361,771",,"361,771",,
,"3,418,457",,"5,074,450",,
,"3,770,583",,"3,770,583",,
,"747,137",,-,,
,"1,148,193",,"1,148,191",,
,"9,446,141","7,681,508","10,354,995","8,289,78",
,"28,228,528","26,767,859","29,164,419","27,406,93",
,,"3,882,158
7,574,257
179,916
216,339
715,471
793,112
6,388,295",,,
,"2,081,628",,"2,081,628",,
,"6,169,873",,"6,272,205",,
,"264,584",,"264,864",,
,"259,841",,"259,841",,",64C2
,471"
,"553,946",,"553,946",,
,"936,026",,"936,026",,"3,11M2"
,"5,821,126",,"6,197,856",,
,,,,,",321"
,"16,087,024","19,749,548","16,566,366","20,010,",87Y6
,"12,141,504","7,018,311
-","12,598,053","7,396,","058
C M-"
,-,,-,,
,"12,141,504","7,018,311
(2,776,037)
1,087,227","12,598,053","7,396,
(3,027,
1,071","058
MY
017)"
,"(2,847,546)",,"(3,224,275)",,
,"(313,422)",,"(329,939)",,",37C6Y"
,"8,980,536","5,329,501","9,043,839","5,440",",417"
,,"-
317,240
249,272
-
(167,853)",,,"CMY
-"
,-,,-,,
,"(910,725)",,"(910,725)",,",91K8"
,"-
-",,"-
-",,
,"273,217",,"273,217",,
,"(637,508)","398,659","(637,508)",,
,"8,343,028","5,728,160","8,406,331",,
,23.32,"13.66
10.50",23.49,,
,19.00,,19.00,,
