"Treasury
bonds",Equity shares,Total
"5,740,496","27,972","5,768,468"
"30,021,657",–,"30,021,657"
"(34,966,566)",–,"(34,966,566)"
–,"(6,301)","(6,301)"
"(21,078)","22,635","1,557"
"774,509","44,306","818,815"
