"I BALANCE SHEET
A. ASSETS","31.03.2020
KShs. '000
Un-audited","31.12.2020
KShs. '000
Audited","31.03.2021
KShs. '000
Un-audited"
1. Cash (both local and foreign),"3,067,013","3,675,054","3,780,235"
2. Balances due from Central Bank of Kenya,"26,084,004","16,944,010","21,325,908"
3. Kenya Government and other securities held for dealing purposes,"5,700,682","4,926,569","4,251,728"
4. Financial Assets at fair value through profit and loss,"1,136,077","760,132","678,827"
5. Investment Securities:,,,
a) Amortised cost:,,,
i. Kenya Government securities,-,-,-
ii. Other securities,-,-,-
b) Fair Value through other comprehensive income (FVOCI),,,
i. Kenya Government securities,"89,265,796","94,852,653","98,158,546"
ii. Other securities,-,-,-
6. Deposits and balances due from local banking institutions,"5,426,208","7,361,658","3,502,589"
7. Deposits and balances due from banking institutions abroad,"372,310","171,538","182,978"
8. Tax recoverable,"521,253","340,116",-
9. Loans and advances to customers (net),"125,536,619","121,524,227","117,873,460"
10. Balances due from banking institutions in the group,"42,588,217","63,104,628","75,364,683"
11. Investments in associates,-,-,-
12. Investments in subsidiary companies,"141,243","141,243","141,243"
13. Investments in joint ventures,-,-,-
14. Investment properties,-,-,-
15. Property and equipment,"3,771,025","3,855,942","3,717,305"
16. Prepaid lease rentals,-,-,-
17. Intangible assets,"3,149,574","3,022,992","3,696,763"
18. Deferred tax asset,"1,192,521","2,457,372","3,060,910"
19. Retirement benefit asset,-,-,-
20. Other assets,"3,479,471","2,734,723","3,790,006"
21.TOTAL ASSETS,"311,432,013","325,872,857","339,525,181"
B. LIABILITIES,,,
22. Balances due to Central Bank of Kenya,-,-,-
23. Customer deposits,"243,550,712","256,497,530","265,249,883"
24. Deposits and balances due to local banking institutions,"209,368","164,664","131,060"
25. Deposits and balances due to foreign banking institutions,"474,818","288,964","1,024,911"
26. Other money market deposits,-,-,-
27. Borrowed funds,-,-,-
28. Balances due to banking institutions in the group,"11,857,831","12,166,804","13,747,735"
29. Tax payable,-,-,"972,124"
30. Dividends payable,"404,429","262,105","257,570"
31. Deferred tax liability,-,-,-
32. Retirement benefit liability,"274,162","163,717","163,478"
33. Other liabilities,"5,591,805","6,110,443","6,060,583"
34. TOTAL LIABILITIES,"262,363,125","275,654,227","287,607,344"
C. SHAREHOLDERS' FUNDS,,,
35. Paid up/Assigned Capital,"1,997,553","2,169,253","2,169,253"
36. Share premium/ (Discount),"7,792,427","7,792,427","7,792,427"
37. Revaluation reserves,"729,801","899,621","897,038"
38. Retained earnings/ (Accumulated losses),"28,736,546","31,208,789","33,510,142"
39. Statutory loan loss reserves,"1,681,216","969,283","761,639"
40. Other Reserves (Fair value),"1,009,793","1,158,562","774,718"
41. Proposed dividends,"5,237,349","4,135,431","4,135,431"
42.Capital grants,"1,884,203","1,885,264","1,877,189"
43. TOTAL SHAREHOLDERS' EQUITY,"49,068,888","50,218,630","51,917,837"
44 Minority Interest,-,-,-
45. TOTAL LIABILITIES AND SHAREHOLDERS' EQUITY,"311,432,013","325,872,857","339,525,181"
