"2024
KShs ‘000","2023
KShs ‘000","2024
KShs ‘000",Column
"38,815,684","32,352,169","38,815,684",
"(5,550,381)","(3,507,761)","(5,572,877)",
"33,265,303","28,844,408","33,242,807",
"9,193,627","7,586,384","7,374,939","5,902,765"
"(2,530,268)","(1,632,407)","(2,530,268)","(1,632,407)"
"6,663,359","5,953,977","4,844,671",
"8,266,151","8,500,334","8,266,151","8,500,334"
"3,246,460","728,085","3,246,460","728,085"
"11,512,611","9,228,419","11,512,611",
–,–,"886,267",
"(1,174,095)","(3,166,798)","(1,174,095)",
"50,267,178","40,860,006","49,312,261",
"(9,433,617)","(8,145,029)","(9,312,745)","(8,041,077)"
"(866,127)","(767,008)","(863,388)","(765,185)"
"(8,273,718)","(7,623,444)","(7,801,504)","(7,239,635)"
"(1,420,626)","(1,361,928)","(1,420,626)","(1,361,928)"
"(19,994,088)","(17,897,409)","(19,398,263)",
"30,273,090","22,962,597","29,913,998",
"(1,763,610)","(3,217,995)","(1,763,610)",
"(301,244)","(76,120)","(301,244)",
"28,208,236","19,668,482","27,849,144",
"(8,147,649)","(5,833,015)","(7,787,613)",
"20,060,587","13,835,467","20,061,531",
52.65,36.17,52.65,
