Definition,Key responsibilities include:
"The businesses and functions engaged in
or supporting revenue generating
activities that own and manage risks.","• Propose the risks required to undertake
the revenue generating activities.
• Identify, assess, monitor, and escalate risks and issues
to the Second Line and senior management and
promote a healthy risk culture and good conduct.
• Own and design processes, controls and
standards for adhering to Risk Type Frameworks
and Policies set by the Second Line.
• Manage risks within Risk Appetite and ensure
laws and regulations are being complied with.
• Ensure systems meet risk data aggregation, risk reporting
and data quality requirements set by the Second Line.
• Manage risk to protect business services from
disruption to the extent practicable."
"The control functions independent of the
First Line that provide oversight and
challenge of risk management to provide
confidence to the management team and
the Board.","• Review First Line risk proposals and make
decisions to approve or reject as appropriate.
• Oversee and challenge First Line risk taking activities.
• Own processes for setting Risk Type Frameworks,
Policies and Standards, and monitoring compliance.
• Own and manage processes for oversight and challenge.
• Propose Risk Appetite to the Board, monitor
and report adherence to Risk Appetite.
• Intervene to curtail business if it is not in line with
existing or adjusted Risk Appetite or when operational
controls do not effectively manage risk.
• Ensure effective implementation of the
Policies and Risk Type Frameworks.
• Identify, assess, monitor and escalate risks
and issues to the Senior Management.
• Review and challenge risk remediation plans set by the
First Line to mitigate Risk Appetite breaches or issues.
• Set risk data aggregation, risk reporting and data
quality requirements and ensure that their systems
and processes meet these requirements.
• Ensure that there are appropriate controls to comply
with applicable laws and regulations, and escalate
significant regulatory non-compliance matters
and developments to the Senior Management.
• Promote a healthy risk culture and good conduct."
"The internal audit function provides
independent assurance on the
effectiveness of controls that support First
Line’s risk management of business
activities, and the processes maintained
by the Second Line. Its role is defined and
overseen by the Board Audit Committee.","• Independently assess whether management has
identified the key risks in the business and whether
these are reported and governed in line with the
established risk management processes.
• Independently assess the adequacy of the design
of controls and their operating effectiveness."
