"2025
KShs ‘000","2024
KShs ‘000","2025
KShs ‘000"
"450,616","384,485","450,616"
"1,058,507","1,036,141","1,058,507"
"38,360","301,244","38,360"
"4,402",490,"4,402"
"14,697",–,"14,697"
"25,802","25,034","25,802"
"341,305","352,952","341,305"
"27,141","26,024","25,122"
"19,832","19,016","19,832"
"4,200","12,332","4,200"
