III. OTHER DISCLOSURES,"31.03.2020
KShs. '000
Un-audited","31.12.2020
KShs. '000
Audited","31.03.2021
KShs. '000
Un-audited"
1) NON-PERFORMING LOANS AND ADVANCES,,,
a) Gross non-performing loans and advances,"20,022,480","22,337,323","22,292,855"
Less,,,
b) Interest in suspense,"7,830,322","9,125,052","9,314,124"
c) Net Non-Performing Loans and Advances (a-b),"12,192,158","13,212,271","12,978,731"
Less,,,
d) Loan loss Provisions,"7,797,795","8,875,775","8,773,496"
e) Net Non-Performing Loans (c-d),"4,394,363","4,336,496","4,205,235"
f) Realizable Value of Securities,"3,220,026","3,798,832","3,558,902"
g) Net NPLs Exposure (e-f),"1,174,337","537,664","646,333"
2) INSIDER LOANS AND ADVANCES,,,
"a) Directors, shareholders and associates","42,706","90,944","63,410"
b) Employees,"6,581,931","6,640,032","6,481,240"
"c) Total Insider Loans, Advances and Other Facilities","6,624,637","6,730,976","6,544,650"
3) OFF-BALANCE SHEET ITEMS,,,
"a) Letters of credit,guarantees, acceptances","52,647,111","66,035,541","67,797,150"
"b) Forwards, swaps, and options","130,490,897","55,669,313","55,895,187"
c) Other contingent Liabilities,-,-,-
d) Total Contingent Liabilities,"183,138,008","121,704,854","123,692,337"
4) CAPITAL STRENGTH,,,
a) Core Capital,"36,801,741","39,240,034","39,938,447"
b) Minimum Statutory Capital,"1,000,000","1,000,000","1,000,000"
c) Excess/ (Deficiency),"35,801,741","38,240,034","38,938,447"
d) Supplementary Capital,"7,446,116","6,435,788","6,015,999"
e) Total capital (a+d),"44,247,857","45,675,822","45,954,446"
f) Total risk weighted assets,"245,559,880","247,250,634","250,621,116"
g) Core capital/total deposit liabilities,15.11%,15.30%,15.06%
h) Minimum Statutory Ratio,8.00%,8.00%,8.00%
i) Excess/ (Deficiency) (g-h),7.11%,7.30%,7.06%
j)Core capital/total risk weighted assets,14.99%,15.87%,15.94%
k) Minimum Statutory Ratio,10.50%,10.50%,10.50%
l) Excess/ (Deficiency) (j-k),4.49%,5.37%,5.44%
m)Total capital/total risk weighted assets,18.02%,18.47%,18.34%
n) Minimum Statutory Ratio,14.50%,14.50%,14.50%
o) Excess/ (Deficiency) (m-n),3.52%,3.97%,3.84%
(p) Adjusted Core Capital/Total Deposit Liabilities*,15.15%,15.34%,15.10%
(q) Adjusted Core Capital/Total Risk Weighted Assets*,15.03%,15.91%,15.98%
(r) Adjusted Total Capital/Total Risk Weighted Assets*,18.06%,18.52%,18.38%
5) LIQUIDITY,,,
a) Liquidity Ratio,67.58%,71.49%,74.70%
b) Minimum Statutory Ratio,20.00%,20.00%,20.00%
c) Excess/ (Deficiency) (a-b),47.58%,51.49%,54.70%
