CONTENTS,Column,Column
Section,Note,Page
Basis of preparation,1,Reporting entity 84
,2,Significant accounting policies 84
,3,Financial assets and liabilities 88
Risk Review,4,Financial risk management and capital review 121
Performance/return,5,Segmental information 159
,6,Net interest income 162
,7,Net fee and commission income 164
,8,Net trading income 164
,9,Dividend income 165
,10,Other operating income 165
,11,Operating expenses 166
,12,Profit before taxation 168
,13,Taxation 169
,14,Earnings per ordinary share 170
,15,Dividends 171
Financial assets,16,Cash and balances with Central Bank of Kenya 172
,17,Government and other securities held at FVTPL 173
,18,Derivative financial instruments 173
,19,Loans and advances to banks 175
,20,Loans and advances to customers 175
,21,Investment securities 177
Other assets,22,Other assets 179
Group company balances,23,Group company balances 179
Scope of consolidation,24,Investment in subsidiary undertakings 180
,25,Business combination 180
Non financial assets,26,Property and equipment 182
,27,Goodwill and intangible assets 186
,28,Prepaid operating lease rentals 188
,29,Deferred tax 188
Financial liabilities,30,Deposits from banks 190
,31,Deposits from customers 190
"Accruals, contingent liabilities
and commitments",32,Other liabilities 191
,33,Contingent liabilities and commitments 191
,34,Future rental commitments under operating leases 193
Employee benefits,35,Retirement benefit obligations 194
Equity and reserves,36,Share capital and reserves 197
Cash flow statement,37,Statement of cash flows 200
Other disclosure matters,38,Assets pledged as security 201
,39,Fiduciary activities 201
,40,Related party transactions 202
,41,Holding company 204
,42,IFRS 9 Financial instruments 204
