III. OTHER DISCLOSURES,"30.09.2020
KShs. '000
Un-audited","31.12.2020
KShs. '000
Audited","31.03.2021
KShs. '000
Un-audited","30.06.2021
KShs. '000
Un-audited","30.09.2021
KShs. '000
Un-audited"
1) NON-PERFORMING LOANS AND ADVANCES,,,,,
a) Gross non-performing loans and advances,"21,966,043","22,337,323","22,292,855","22,864,566","23,009,987"
Less,,,,,
b) Interest in suspense,"8,759,860","9,125,052","9,314,124","9,617,092","9,223,423"
c) Net Non-Performing Loans and Advances (a-b),"13,206,183","13,212,271","12,978,731","13,247,474","13,786,564"
Less,,,,,
d) Loan loss Provisions,"8,418,163","8,875,775","8,773,496","8,995,528","9,828,343"
e) Net Non-Performing Loans (c-d),"4,788,020","4,336,496","4,205,235","4,251,946","3,958,221"
f) Realizable Value of Securities,"3,588,597","3,798,832","3,558,902","3,644,401","3,364,919"
g) Net NPLs Exposure (e-f),"1,199,423","537,664","646,333","607,545","593,302"
2) INSIDER LOANS AND ADVANCES,,,,,
"a) Directors, shareholders and associates","102,515","90,944","63,410","76,575","77,827"
b) Employees,"6,785,223","6,640,032","6,481,240","6,486,036","6,409,864"
"c) Total Insider Loans, Advances and Other Facilities","6,887,738","6,730,976","6,544,650","6,562,611","6,487,691"
3) OFF-BALANCE SHEET ITEMS,,,,,
"a) Letters of credit,guarantees, acceptances","63,270,000","66,035,541","67,797,150","71,560,347","65,890,049"
"b) Forwards, swaps, and options","71,885,877","55,669,313","55,895,187","53,255,374","95,111,448"
c) Other contingent Liabilities,-,-,-,-,-
d) Total Contingent Liabilities,"135,155,877","121,704,854","123,692,337","124,815,721","161,001,497"
4) CAPITAL STRENGTH,,,,,
a) Core Capital,"40,615,412","39,240,034","39,938,447","42,114,703","41,732,651"
b) Minimum Statutory Capital,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000"
c) Excess/ (Deficiency),"39,615,412","38,240,034","38,938,447","41,114,703","40,732,651"
d) Supplementary Capital,"6,596,632","6,435,788","6,015,999","6,330,153","5,593,068"
e) Total capital (a+d),"47,212,044","45,675,822","45,954,446","48,444,856","47,325,719"
f) Total risk weighted assets,"252,423,755","247,250,634","250,621,116","265,104,656","267,571,165"
g) Core capital/total deposit liabilities,16.73%,15.30%,15.06%,15.14%,16.15%
h) Minimum Statutory Ratio,8.00%,8.00%,8.00%,8.00%,8.00%
i) Excess/ (Deficiency) (g-h),8.73%,7.30%,7.06%,7.14%,8.15%
j)Core capital/total risk weighted assets,16.09%,15.87%,15.94%,15.89%,15.60%
k) Minimum Statutory Ratio,10.50%,10.50%,10.50%,10.50%,10.50%
l) Excess/ (Deficiency) (j-k),5.59%,5.37%,5.44%,5.39%,5.10%
m)Total capital/total risk weighted assets,18.70%,18.47%,18.34%,18.27%,17.69%
n) Minimum Statutory Ratio,14.50%,14.50%,14.50%,14.50%,14.50%
o) Excess/ (Deficiency) (m-n),4.20%,3.97%,3.84%,3.77%,3.19%
(p) Adjusted Core Capital/Total Deposit Liabilities*,16.78%,15.34%,15.10%,15.18%,16.19%
(q) Adjusted Core Capital/Total Risk Weighted Assets*,16.14%,15.91%,15.98%,15.93%,15.64%
(r) Adjusted Total Capital/Total Risk Weighted Assets*,18.75%,18.52%,18.38%,18.31%,17.73%
5) LIQUIDITY,,,,,
a) Liquidity Ratio,65.72%,71.49%,74.70%,70.06%,67.41%
b) Minimum Statutory Ratio,20.00%,20.00%,20.00%,20.00%,20.00%
c) Excess/ (Deficiency) (a-b),45.72%,51.49%,54.70%,50.06%,47.41%
