2024,Column,Column,Column,Column,Column,Column
,Customers,,,,,
Banks,"Corporate
and
Investment
Banking","Wealth and
Retail
Banking","Central and
other items","Customer
Total","Undrawn
commitments","Financial
Guarantees"
"1,164,478","84,651,493","60,557,883",-,"145,209,376","42,679,706","61,025,567"
"1,164,478","57,875,196","56,099,044",-,"113,974,240","31,426,633","49,507,450"
-,"26,776,297","4,458,839",-,"31,235,136","11,253,073","11,518,117"
-,"1,993,654","3,876,780",-,"5,870,434","3,311,817","2,697,847"
-,-,"218,624",-,"218,624","100,958","1,864,089"
-,-,"146,212",-,"146,212","2,296,539","445,107"
-,"1,993,654","3,511,944",-,"5,505,598","914,320","388,651"
-,-,"146,212",-,"146,212",-,-
-,-,"1,427,871",-,"1,427,871",-,-
-,"2,571,455","4,990,085",-,"7,561,540",-,"451,073"
"1,164,478","89,216,602","69,424,748",-,"158,641,350","45,991,523","64,174,487"
"(6,835)","(44,575)","(1,042,506)",-,"(1,087,081)","(33,402)","(13,642)"
"(6,835)","(22,615)","(888,764)",-,"(911,379)","(13,367)","(2,083)"
-,"(21,960)","(153,742)",-,"(175,702)","(20,035)","(11,559)"
-,"(495,454)","(112,130)",-,"(607,584)","(77,943)","(7,722)"
-,-,"(70,250)",-,"(70,250)",(532),(117)
-,-,"(6,287)",-,"(6,827)","(43,977)","(2,203)"
-,"(495,454)","(35,593)",-,"(531,047)","(33,434)","(5,402)"
-,"(2,252,268)","(3,047,038)",-,"(5,299,306)",-,"(225,246)"
"(6,835)","(2,792,297)","(4,201,674)",-,"(6,993,971)","(111,345)","(246,610)"
"1,157,643","86,424,305","65,223,074",-,"151,647,379",,
0.6%,0.1%,1.7%,-,0.7%,0.1%,0.0%
0.6%,0.0%,1.6%,-,0.8%,0.0%,0.0%
0.0%,0.1%,3.4%,-,0.6%,0.2%,0.1%
0.0%,24.9%,2.9%,-,10.3%,2.4%,0.3%
0.0%,0.0%,32.1%,-,32.1%,0.5%,0.0%
0.0%,0.0%,4.3%,-,4.3%,1.9%,0.5%
0.0%,24.9%,1.0%,-,9.6%,3.7%,1.4%
0.0%,87.6%,61.1%,-,70.1%,0.0%,49.9%
0.6%,3.1%,6.1%,-,4.4%,0.2%,0.4%
"1,157,643","86,424,305","65,223,074",-,"151,647,379",,
