"At
1 January
KShs million","Recognised in the
income statement
current year
KShs million","Recognised in other
comprehensive income
KShs million","At
31 December
KShs million"
36,74,-,110
(20),20,-,-
(117),62,-,(55)
506,448,-,954
293,99,-,392
(272),4,(72),(340)
(302),-,(95),(397)
206,(71),-,135
514,"1,100",( 5),"1,609"
614,(614),-,-
80,(36),5,49
"1,538","1,086",(167),"2,457"
