"Group
KShs
million","Company
KShs
million"
"23,734","23,722"
"(4,971)","(4,989)"
"18,763","18,733"
"5,538","4,275"
"(1,006)","(1,006)"
"4,532","3,269"
"3,330","3,330"
-,624
64,94
"26,689","26,050"
"(7,857)","(7,754)"
(930),(926)
"(5,412)","(5,252)"
"(1,508)","(1,508)"
"(15,707)","(15,440)"
"10,982","10,610"
"(3,586)","(3,592)"
"7,396","7,018"
"(1,955)","(1,690)"
"5,441","5,328"
13.95,13.66
