"2024
KShs ‘000","2023
KShs ‘000","2024
KShs ‘000",Column
"20,060,587","13,835,467","20,061,531",
"(39,797)",788,"(39,797)",788
"11,939",(236),"11,939",(236)
–,"(23,400)",–,"(23,400)"
–,"2,520",–,"2,520"
–,"(237,764)",–,"(237,764)"
–,"71,329",–,"71,329"
–,"68,987",–,"68,987"
–,"(20,696)",–,"(20,696)"
"(27,858)","(138,472)","(27,858)",
"1,911,651","(3,281,903)","1,911,651","(3,281,903)"
"(573,495)","984,571","(573,495)","984,571"
"1,252,258","3,230,494","1,252,258","3,230,494"
"(375,677)","(969,148)","(375,677)","(969,148)"
"(247,109)","262,390","(247,109)","262,390"
–,"(42,789)",–,"(42,789)"
"74,133","(65,880)","74,133","(65,880)"
"2,041,761","117,735","2,041,761",
"2,013,903","(20,737)","2,013,903",
"22,074,490","13,814,730","22,075,434",
