At 1 January,"Recognised
in the income
statement
current year","Recognised
in other
comprehensive
income","At 31
December"
KShs '000,KShs '000,KShs '000,KShs '000
"189,101","4,449",-,"193,550"
-,"(5,158)",-,"(5,158)"
"(55,388)","55,388",-,-
"952,803","(191,588)",-,"761,215"
"392,354","187,714",-,"580,068"
-,"91,893",-,"91,893"
"(340,536)","4,428",-,"(336,108)"
"(396,409)",-,"267,237","(129,172)"
"134,683","(54,951)",-,"79,732"
"81,273","60,217",-,"141,490"
"1,529,211","(445,304)","3,576","1,087,483"
"49,114","(37,027)","2,404","14,491"
"2,536,206","(329,939)","273,217","2,479,484"
