Column,Fair value,Column,Column,Column
"Carrying
value
KShs '000","Level 1
KShs '000","Level 2
KShs '000","Level 3
KShs '000","Total
KShs '000"
"32,339,549",-,"32,339,549",-,"32,339,549"
"1,157,643",-,"1,157,643",-,"1,157,643"
"151,647,379",-,-,"151,647,379","151,647,379"
"78,428,275",-,-,"78,428,275","78,428,275"
"5,942,967",-,"5,942,967",-,"5,942,967"
"269,515,813",-,"39,440,159","230,075,654","269,515,813"
"306,862",-,"306,862",-,"306,862"
"295,690,089",-,-,"295,690,089","295,690,089"
"9,174,388",-,-,"9,174,388","9,174,388"
"429,326",-,-,"429,326","429,326"
"305,600,665",-,"306,862","305,293,803","305,600,665"
