Freehold land and buildings,Buildings on leasehold land,Right-of-use asset-leasehold land,"Fixtures, fittings and equipment",Motor Vehicles,Capital- work-in progress,Right-of-use asset-non-land leases,Total
KShs million,KShs million,KShs million,KShs million,KShs million,KShs million,KShs million (Note 34),KShs million
250,"1,465",278,"5,657",28,244,826,"8,748"
-,-,-,397,-,36,148,581
-,-,-,90,-,(90),-,-
(230),-,-,-,-,-,-,(230)
-,-,-,(206),-,-,(286),(492)
(20),211,-,-,-,-,-,191
-,"1,676",278,"5,938",28,190,688,"8,798"
7,44,43,"4,571",16,-,173,"4,854"
(8),-,-,-,-,-,-,(8)
-,(58),-,-,-,-,-,(58)
1,20,3,497,5,-,189,715
-,-,-,(194),-,-,(145),(339)
-,6,46,"4,874",21,-,217,"5,164"
-,"1,670",232,"1,064",7,190,471,"3,634"
