2021,"2020
KShs '000",2021,Column
KShs '000,,KShs '000,
"22,284,551","23,734,413","22,284,551",
"(3,873,685)","(4,971,186)","(3,900,722)",
"18,410,866","18,763,227","18,383,829",
"6,429,720","5,538,848","4,773,726","4,274,770"
"(993,498)","(1,006,553)","(993,498)","(1,005,624)"
"5,436,222","4,532,295","3,780,228",
"4,302,927","3,330,236","4,302,927",
-,-,"747,137",
"152,487","63,206","152,487",
"28,302,502","26,688,964","27,366,608",
"(6,537,068)","(7,857,172)","(6,434,458)","(7,754,173)"
"(425,924)","(929,343)","(423,322)","(925,552)"
"(5,739,818)","(5,391,399)","(5,365,685)","(5,231,078)"
"(1,489,973)","(1,508,583)","(1,489,973)","(1,508,583)"
"(14,192,783)","(15,686,497)","(13,713,438)",
"14,109,719","11,002,467","13,653,170",
"(1,492,838)","(3,586,052)","(1,492,838)",
"(18,828)","(20,357)","(18,828)",
"12,598,053","7,396,058
(1,955,641)","12,141,504",
"(3,554,214)",,"(3,160,968)",
"9,043,839","5,440,417","8,980,536",
KShs,KShs,KShs,
23.49,13.95,23.32,
