2024,Column,Column,Column
"Corporate and
Investment
Banking","Wealth and
Retail Banking","Central and
Other items",Total
"13,511,712","16,596,143","3,157,448","33,265,303"
"12,106,165","6,461,909","(1,566,199)","17,001,875"
"25,617,877","23,058,052","1,591,249","50,267,178"
"(8,384,115)","(10,829,801)","(780,172)","(19,994,088)"
"17,233,762","12,228,251","811,077","30,273,090"
"(635,481)","(1,110,646)","(17,483)","(1,763,610)"
"(112,230)","(136,198)","(52,816)","(301,244)"
"16,486,051","10,981,407","740,778","28,208,236"
