2021,"2020
KShs '000",2021
KShs '000,,KShs '000
"5,194,706","5,345,419","5,107,679"
"563,075","621,838","554,024"
"39,046","57,074","39,046"
"214,071","1,348,977","214,037"
"24,708","6,941","24,656"
"25,468","26,062","25,468"
"475,994","450,861","469,548"
"6,537,068","7,857,172","6,434,458"
