"2024
KShs ‘000","2023
KShs ‘000","2024
KShs ‘000"
"32,339,549","42,901,755","32,339,549"
"818,815","5,768,468","818,815"
"3,231,435","925,051","3,231,435"
"1,157,643","3,957,778","1,157,643"
"151,647,379","163,161,777","151,647,379"
"98,002,713","63,834,200","98,002,713"
"1,080,212","1,185,327","961,104"
"6,361,410","6,124,762","6,209,627"
"78,564,954","129,253,610","79,428,275"
–,–,"145,243"
"215,280","198,600","215,280"
"3,256,272","2,969,518","3,256,272"
"5,516,312","5,016,586","5,516,312"
"2,382,115","3,664,743","2,276,221"
"384,574,089","428,962,175","385,205,868"
"306,862","4,327,045","306,862"
"295,690,089","342,853,241","295,690,089"
"1,164,920","1,109,841","1,164,920"
"5,771,847","9,333,178","5,745,405"
"8,087,854","9,757,711","9,174,388"
"1,742,437",–,"1,587,139"
"33,960","48,892","33,960"
"312,797,969","367,429,908","313,702,763"
"9,961,680","9,961,680","9,961,680"
"4,061,220","1,976,684","4,061,220"
"43,688,518","40,818,649","43,415,503"
"14,064,702","8,775,254","14,064,702"
"71,776,120","61,532,267","71,503,105"
"384,574,089","428,962,175","385,205,868"
