"Total carrying
amount",Level 1,Level 2,Level 3,"Total fair
values","Total carrying
amount",Level 1,Level 2,Level 3,"Total fair
values"
"20,619",-,"20,619",-,"20,619","20,619",-,"20,619",-,"20,619"
"7,533",-,"7,533",-,"7,533","7,533",-,"7,533",-,"7,533"
"121,524",-,-,"121,524","121,524","121,524",-,-,"121,524","121,524"
784,-,-,784,784,784,-,-,784,784
"62,757",-,-,"62,757","62,757","63,105",-,-,"63,105","63,105"
"213,217",-,"28,152","185,065","213,217","213,565",-,"28,152","185,413","213,565"
454,-,454,-,454,454,-,454,-,454
"256,498",-,"31,881","224,617","256,498","256,498",-,"31,881","224,617","256,498"
317,-,-,317,317,317,-,-,317,317
"11,209",-,"6,564","4,645","11,209","11,209",-,"6,564","4,645","11,209"
-,-,-,-,-,958,-,958,-,958
"268,478",-,"38,899","229,579","268,478","269,436",-,"39,857","229,579","269,436"
