"Mandatorily
held at fair value
through profit or
loss","Fair value
through other
comprehensive
income",Total,"Financial
instruments at
amortised cost",Total
-,-,-,"20,619","20,619"
"4,949",-,"4,949",-,"4,949"
739,-,739,-,739
-,-,-,"7,533","7,533"
-,-,-,"121,524","121,524"
-,"94,852","94,852",-,"94,852"
-,-,-,784,784
-,-,-,"63,105","63,105"
"5,688","94,852","100,540","213,565","314,105"
-,-,-,454,454
-,-,-,"256,498","256,498"
648,-,648,-,648
-,-,-,317,317
-,-,-,"11,209","11,209"
-,-,-,958,958
648,-,648,"269,436","270,084"
