III. OTHER DISCLOSURES,"30.06.2019
KShs. '000
Un-audited","31.12.2019
KShs. '000
Audited","31.03.2020
KShs. '000
Un-audited","30.06.2020
KShs. '000
Un-audited"
1) NON-PERFORMING LOANS AND ADVANCES,,,,
a) Gross non-performing loans and advances,"19,788,405","20,057,683","20,022,480","20,902,985"
Less,,,,
b) Interest in suspense,"7,146,100","7,788,053","7,830,322","8,287,008"
c) Net Non-Performing Loans and Advances (a-b),"12,642,305","12,269,630","12,192,158","12,615,977"
Less,,,,
d) Loan loss Provisions,"7,864,209","8,004,255","7,797,795","8,064,247"
e) Net Non-Performing Loans (c-d),"4,778,096","4,265,375","4,394,363","4,551,730"
f) Realizable Value of Securities,"3,387,741","3,218,283","3,220,026","3,319,354"
g) Net NPLs Exposure (e-f),"1,390,355","1,047,092","1,174,337","1,232,376"
2) INSIDER LOANS AND ADVANCES,,,,
"a) Directors, shareholders and associates","51,447","47,149","42,706","91,250"
b) Employees,"6,518,468","7,066,418","6,581,931","6,503,774"
"c) Total Insider Loans, Advances and Other Facilities","6,569,915","7,113,567","6,624,637","6,595,024"
3) OFF-BALANCE SHEET ITEMS,,,,
"a) Letters of credit,guarantees, acceptances","51,876,610","52,218,765","52,647,111","58,767,950"
"b) Forwards, swaps, and options","77,652,518","78,653,950","130,490,897","57,432,884"
c) Other contingent Liabilities,-,-,-,-
d) Total Contingent Liabilities,"129,529,128","130,872,715","183,138,008","116,200,834"
4) CAPITAL STRENGTH,,,,
a) Core Capital,"36,137,129","35,701,874","36,801,741","40,128,004"
b) Minimum Statutory Capital,"1,000,000","1,000,000","1,000,000","1,000,000"
c) Excess/ (Deficiency),"35,137,129","34,701,874","35,801,741","39,128,004"
d) Supplementary Capital,"6,882,732","7,336,051","7,446,116","6,832,330"
e) Total capital (a+d),"43,019,861","43,037,925","44,247,857","46,960,334"
f) Total risk weighted assets,"231,854,209","242,802,511","245,559,880","254,848,969"
g) Core capital/total deposit liabilities,15.81%,15.63%,15.11%,15.64%
h) Minimum Statutory Ratio,8.00%,8.00%,8.00%,8.00%
i) Excess/ (Deficiency) (g-h),7.81%,7.63%,7.11%,7.64%
j)Core capital/total risk weighted assets,15.59%,14.70%,14.99%,15.75%
k) Minimum Statutory Ratio,10.50%,10.50%,10.50%,10.50%
l) Excess/ (Deficiency) (j-k),5.09%,4.20%,4.49%,5.25%
m)Total capital/total risk weighted assets,18.55%,17.73%,18.02%,18.43%
n) Minimum Statutory Ratio,14.50%,14.50%,14.50%,14.50%
o) Excess/ (Deficiency) (m-n),4.05%,3.23%,3.52%,3.93%
(p) Adjusted Core Capital/Total Deposit Liabilities*,15.88%,15.68%,15.15%,15.69%
(q) Adjusted Core Capital/Total Risk Weighted Assets*,15.65%,14.75%,15.03%,15.79%
(r) Adjusted Total Capital/Total Risk Weighted Assets*,18.62%,17.77%,18.06%,18.47%
5) LIQUIDITY,,,,
a) Liquidity Ratio,67.23%,62.57%,67.58%,66.77%
b) Minimum Statutory Ratio,20.00%,20.00%,20.00%,20.00%
c) Excess/ (Deficiency) (a-b),47.23%,42.57%,47.58%,46.77%
