"Within 12
months
KShs '000","After 12
months
KShs '000","Total
KShs '000","Within 12
months
KShs '000","After 12
months
KShs '000","Total
KShs '000"
"32,339,549",-,"32,339,549","32,339,549",-,"32,339,549"
"90,540","728,275","818,815","90,539","728,276","818,815"
"2,032,677","1,198,758","3,231,435","2,032,677","1,198,758","3,231,435"
"1,157,643",-,"1,157,643","1,157,643",-,"1,157,643"
"81,151,003","70,496,376","151,647,379","81,151,003","70,496,376","151,647,379"
"95,426,304","2,576,409","98,002,713","95,426,304","2,576,409","98,002,713"
"1,080,212",-,"1,080,212","961,104",-,"961,104"
"6,361,410",-,"6,361,410","6,209,627",-,"6,209,627"
"69,184,017","9,380,937","78,564,954","70,051,697","9,376,578","79,428,275"
-,-,-,-,"145,243","145,243"
"215,280",-,"215,280","215,280",-,"215,280"
-,"3,256,272","3,256,272",-,"3,256,272","3,256,272"
-,"5,516,312","5,516,312",-,"5,516,312","5,516,312"
-,"2,382,115","2,382,115",-,"2,276,221","2,276,221"
"289,038,635","95,535,454","384,574,089","289,635,423","95,570,445","385,205,868"
"306,862",-,"306,862","306,862",-,"306,862"
"295,440,680","249,409","295,690,089","295,440,680","249,409","295,690,089"
"1,029,126","135,794","1,164,920","1,029,126","135,794","1,164,920"
"5,578,197","193,650","5,771,847","5,551,755","193,650","5,745,405"
"8,087,854",-,"8,087,854","9,174,388",-,"9,174,388"
"1,742,437",-,"1,742,437","1,587,139",-,"1,587,139"
"33,960",-,"33,960","33,960",-,"33,960"
"312,412,766","385,203","312,797,969","313,317,560","385,203","313,702,763"
