Number of shares ('000),%
"279,195",73.89
"3,884",1.03
"2,507",0.66
"1,883",0.50
"1,631",0.43
"1,597",0.42
"1,295",0.34
"1,202",0.32
"1,189",0.31
"1,128",0.30
"82,340",21.80
"377,851",100.00
