"2023
KShs ‘000","2022
KShs ‘000","2023
KShs ‘000",Column
"32,352,169","25,473,044","32,352,169",
"(3,507,761)","(3,690,859)","(3,509,422)",
"28,844,408","21,782,185","28,842,747",
"7,586,384","6,437,058","5,902,765","4,827,036"
"(1,632,407)","(1,963,195)","(1,632,407)","(1,963,195)"
"5,953,977","4,473,863","4,270,358",
"8,500,334","5,973,243","8,500,334","5,973,243"
"728,085","634,073","728,085","634,073"
"9,228,419","6,607,316","9,228,419",
–,–,"894,102",
"(3,166,798)","229,570","(3,166,798)",
"40,860,006","33,092,934","40,068,828",
"(8,145,029)","(7,041,047)","(8,041,077)","(6,940,762)"
"(767,008)","(568,109)","(765,185)","(566,410)"
"(7,623,444)","(6,209,273)","(7,239,635)","(5,809,331)"
"(1,361,928)","(1,256,490)","(1,361,928)","(1,256,490)"
"(17,897,409)","(15,074,919)","(17,407,825)",
"22,962,597","18,018,015","22,661,003",
"(3,217,995)","(784,623)","(3,217,995)",
"(76,120)",-,"(76,120)",
-,"(130,193)",-,
"19,668,482","17,103,199","19,366,888",
"(5,833,015)","(5,045,264)","(5,449,658)",
"13,835,467","12,057,935","13,917,230",
KShs,KShs,KShs,
36.17,31.47,36.39,
