"Group
KShs
million","Company
KShs
million",Column
"5,441","5,328",
(18),(18),(25) (25)
5,5,7 7
(20),(20),- -
6,6,- -
269,269,- -
(78),(78),- -
164,164,
432,377,(349) (331)
(129),(113),105 100
(78),(60),(261) (261)
23,18,78 78
21,23,56 54
(6),(7),(16) (16)
(9),(5),(21) (21)
2,2,6 6
256,235,
420,399,
"5,861","5,727",
