2023,Column,Column,Column,Column
USD,Euro,GBP,Other,Total
"7,127,115","443,842","319,514","666,882","8,557,353"
"29,833,744","20,200,174","426,471",249,"50,460,638"
"1,791,359","351,711",-,"37,626","2,180,696"
"103,890,922","8,434,462","8,786,840","1,945,990","123,058,214"
"142,643,140","29,430,189","9,532,825","2,650,747","184,256,901"
"4,122,486","18,054",67,-,"4,140,607"
"125,320,703","11,714,855","8,997,079","976,566","147,009,203"
"841,710","452,132","450,602","10,167","1,754,611"
"17,084,660",-,"140,818","1,481,696","18,704,806"
"147,369,559","12,185,041","9,588,566","2,468,429","171,611,595"
"(4,726,419)","17,245,148","(55,741)","182,318","12,645,306"
