Training,"C.
Adeya","K.
Kariuki","I.
Khan","D.
Ongolo","N.
Sharma","R.
Etemesi","J.
Browne","K.
Ngari","C.
Murgor","P.
Gitau","P.
Sanghrajka"
"Global Economic and
Geopolitical Outlook",√,√,√,√,√,√,√,√,√,√,√
"Managing Country
Risk - Lessons from
Pakistan & Ghana",√,√,√,√,√,√,√,√,√,√,√
"Refresher on Conduct
Risk Management""",√,√,√,√,√,√,√,√,√,√,√
"Board Information
and Cyber Security
Risk Awareness",√,√,√,√,√,√,√,√,√,√,√
"Legal Perspectives on
Sustainability-ESG
Related Risks and
Litigation: What
Boards Need To Know",√,√,√,√,√,√,√,√,√,√,√
"Financial Markets
Deep Dive",√,√,√,√,√,√,√,√,√,√,√
"Finance Principles for
Directors",√,√,√,√,√,√,√,√,√,√,√
"Harnessing Africa
Carbon Markets",√,√,√,√,√,√,√,√,√,√,√
"Key Development in
Financial Crime
Compliance",√,√,√,√,√,√,√,√,√,√,√
"Corporate Governance
Overview",,,,,,,√,√,,,
"Oversight on Anti-
Money Laundering
and Sanctions",,,,,,,√,√,,,
"Core Principles of
Islamic Banking",,,,,,,√,√,,,
"Director’s Oversight
Responsibilities in
relation to the use of
Cloud",,,,,,√,√,,,,
"Climate Risk
Management",,,,,,√,√,,,,
