"Corporate, Commercial
& Institutional Banking","Consumer, Private
& Business Banking","Central & other
items",Total
"71,629,176","70,037,936","239,963,534","381,630,646"
"71,419,461","67,993,099",,"139,412,560"
"134,520,509","144,973,298","46,355,831","325,849,638"
"134,315,828","144,563,481",-,"278,879,309"
"382,346","624,447","249,697","1,256,490"
"474,233","573,846","300,634","1,348,713"
