"2024
KShs ‘000","2023
KShs ‘000","2024
KShs ‘000"
"28,208,236","19,668,482","27,849,144"
"1,724,086","1,878,515","1,724,086"
"5,199,993","(40,571,445)","5,274,200"
"(50,646,991)","52,229,237","(50,177,258)"
"(15,514,676)","33,204,789","(15,329,828)"
"(5,880,569)","(8,195,305)","(5,623,889)"
"(21,395,245)","25,009,484","(20,953,717)"
"(756,639)","(637,619)","(756,639)"
"23,160","3,363","23,160"
"(1,779,219)","(1,896,648)","(1,779,219)"
"(2,512,698)","(2,530,904)","(2,512,698)"
"(111,225)","(157,957)","(111,225)"
"(176,382)","(114,861)","(176,382)"
"(8,690,564)","(6,045,610)","(8,690,564)"
"(3,022,805)","(2,267,104)","(3,022,805)"
"(84,690)","(84,690)","(84,690)"
"(83,770)","(83,310)","(83,770)"
"(12,169,436)","(8,753,532)","(12,169,436)"
"(36,077,379)","13,725,048","(35,635,851)"
"88,300,844","74,575,796","88,722,638"
"52,223,465","88,300,844","53,086,787"
"38,912,554","25,488,614","38,912,554"
"(5,636,626)","(4,242,448)","(5,659,121)"
-,-,"530,000"
