STATEMENT OF COMPREHENSIVE INCOME,Column,Column,Column
,,"12,731,113 3,042,043
10,298,361 2,323,548
2,422,813 296,012
20,757 2,762",
,"3,937,483",,"3,937,483"
,"2,534,871",,"2,534,871"
,"1,123,376",,"1,123,376"
,-,,-
,"7,595,730","25,473,044 5,664,365","7,595,730"
,,"2,611,514 665,672
279,267 16,105
376,211 63,720",
,"655,834",,"654,604"
,"47,174",,"47,174"
,-,,-
,"703,008","3,266,992 745,497","701,778"
,"6,892,722","22,206,052 4,918,868","6,893,952"
,,"221,886 49,419
2,641,955 697,867
5,973,243 1,023,674
1,160,323 -
1,306,877 228,997",
,"78,239",,"78,239"
,"821,656",,"1,320,484"
,"2,189,804",,"2,189,804"
,-,,-
,"279,221",,"279,221"
,"3,368,920","11,304,284 1,999,957","3,867,748"
,"10,261,642","33,510,336 6,918,825","10,761,700"
,,"1,328,458 (86,005)
6,689,167 1,643,556
251,595 59,089
257,877 36,950
435,961 130,385
820,529 201,279
6,588,335 1,382,061",
,"790,917",,"790,917"
,"1,871,691",,"1,902,709"
,"65,274",,"65,274"
,"104,494",,"104,494"
,"97,181",,"97,181"
,"245,904",,"245,904"
,"1,816,576",,"1,916,489"
,"4,992,037","16,371,922 3,367,315","5,122,968"
,"5,269,605","17,138,414 3,551,510
- -","5,638,732"
,-,,-
,"5,269,605","17,138,414 3,551,510
(5,695,664) (1,029,515)
994,174 (20,182)","5,638,732"
,"(746,874)",,"(832,592)"
,"(753,291)",,"(779,205)"
,"3,769,440","12,436,924 2,501,813","4,026,935"
,,"- -
(2,054,052) (489,905)
- -
- -
616,215 146,971",
,-,,-
,"123,962",,"123,962"
,-,,-
,-,,-
,"(37,190)",,"(37,190)"
,"86,772","(1,437,837) (342,934)","86,772"
,"3,856,212","10,999,087 2,158,879","4,113,707"
,9.87,,10.55
,-,,-
