Group and Company,Column,Column,Column,Column
Note,"Level 1
KShs ‘000","Level 2
KShs ‘000","Level 3
KShs ‘000","Total
KShs ‘000"
17,–,"5,740,496","27,972","5,768,468"
,–,"5,740,496",–,"5,740,496"
,–,–,"27,972","27,972"
18,"5,256","919,795",–,"925,051"
,"5,256","213,151",–,"218,407"
,–,"706,644",–,"706,644"
20,–,"63,834,200",–,"63,834,200"
,"5,256","70,494,491","27,972","70,527,719"
18,"16,107","1,093,734",–,"1,109,841"
,"16,107","431,475",–,"447,582"
,–,"662,259",–,"662,259"
,"16,107","1,093,734",–,"1,109,841"
