2025,Column,Column,Column
"Undrawn
commitments
KShs '000","Financial
Guarantees
KShs '000","Total off
balance sheet
KShs '000",
"36,811,600","70,797,861","107,609,461",
"23,992,155","60,636,167","84,628,322","31,426,633 18,601,166 50,027,799"
"12,819,445","10,161,694","22,981,139","11,253,073 11,518,117 22,771,190"
"5,650,086","2,185,967","7,836,053",
"1,724,225","306,010","2,030,235","100,958 1,864,089 1,965,047"
"2,241,922","1,446,751","3,688,673","2,296,539 445,107 2,741,646
914,320 388,651 1,302,971"
"1,683,939","433,206","433,206",
–,"255,035","255,035",
"42,461,686","73,238,863","115,700,549",
"(21,255)","(42,295)","(63,550)",
"(16,754)","(10,999)","(27,753)","(13,367) (2,083) (15,450)"
"(4,501)","(31,296)","(35,797)","(20,035) (11,559) (31,594)"
"(275,535)","(59,041)","(334,576)",
(84),(106),(190),(532) (117) (649)
"(25,805)","(52,259)","(78,064)","(43,977) (2,203) (46,180)"
"(249,646)","(6,676)","(256,322)","(33,434) (5,402) (38,836)"
–,(398),(398),
"(296,790)","(101,734)","(398,524)",
