Principal risk types,How these are managed
"Operational risk
Potential for loss resulting from inadequate or failed
internal processes and systems, human error, or from
the impact of external events.","The Group controls operational risks to ensure that
operational losses (financial or reputational), including any
related to conduct of business matters, do not cause
material damage to the franchise."
"Reputational risk
Potential for loss of earnings or market capitalisation as
a result of stakeholders taking a negative view of the
organisation or its actions.","The Group protects the franchise from material damage to
its reputation by ensuring that any business activity is
satisfactorily assessed and managed by the appropriate
level of management and governance oversight."
"Compliance risk
Potential for regulatory sanctions or loss from a failure on
our part to comply with laws or regulations.","The Group has no appetite for breaches in laws and
regulations, recognising that whilst regulatory breaches or
noncompliance are unwanted, they cannot be entirely
avoided."
"Conduct risk
Potential regulatory sanctions or loss from a failure on
our part to abide by the Group’s Conduct Risk
Management Framework.","The Group strives to maintain the standards in our Code of
Conduct and outcomes of our Conduct Framework, by
continuously demonstrating that we “Do The Right Thing” in
the way we do business."
"Information and Cyber Security risk
Potential for loss from a breach of confidentiality,
integrity and availability of the Group’s information
systems and assets through cyber-attack, insider
activity, error or control failure.","The Group seeks to avoid risk and uncertainty for our critical
information assets and systems and has a low appetite for
material incidents affecting these or the wider operations
and reputation of the Group."
"Financial Crime risk
Potential for legal or regulatory penalties, material
financial loss or reputational damage resulting from the
failure to comply with applicable laws and regulations
relating to International Sanctions, Anti-Money
Laundering and Anti-Bribery and Corruption.","The Group has no appetite for breaches in laws and
regulations related to Financial Crime, recognising that
whilst incidents are unwanted, they cannot be entirely
avoided."
"Country risk
Potential for losses due to political or economic events
in a country.","The Group manages the risk exposures by ensuring
adherence to limits for the size of cross-border exposure set
for each country."
