"2023
KShs ‘000","2022
KShs ‘000","2023 KShs
‘000"
"376,642","435,961","376,642"
"983,286","820,529","983,286"
"76,120",-,"76,120"
-,"130,193",-
20,"2,364",20
"24,775","24,590","23,895"
"297,270","289,025","297,270"
"25,262","23,732","23,399"
"19,016","18,110","19,016"
"3,363","2,518","3,363"
