Column,Fair value,Column,Column,Column
"Carrying value
KShs ‘000","Level 1
KShs ‘000","Level 2
KShs ‘000","Level 3
KShs ‘000","Total
KShs ‘000"
"11,571,042",–,"11,571,042",–,"11,571,042"
"740,884",–,"740,884",–,"740,884"
"148,607,362",–,–,"148,607,362","148,607,362"
"72,496,753",–,–,"72,496,753","72,496,753"
"4,366,636",–,"4,366,636",–,"4,366,636"
"237,782,677",–,"16,678,562","221,104,115","237,782,677"
"1,280,365",–,"1,280,365",–,"1,280,365"
"283,451,830",–,–,"283,451,830","283,451,830"
"5,405,917",–,–,"5,405,917","5,405,917"
"499,892",–,,"499,892","499,892"
"426,245",–,,"426,245","426,245"
"1,042,923",–,,"1,042,923","1,042,923"
"439,312",–,–,"439,312","439,312"
"292,546,484",–,"1,280,365","291,266,119","292,546,484"
