2021,"2020
KShs '000",2021,Column
KShs '000,,KShs '000,
"6,429,720","5,538,848","4,773,726",
"1,189,442","1,059,713","1,189,442","1,059,713"
"5,240,278","4,479,135","3,584,284","3,215,057"
"(993,498)","(1,006,553)","(993,498)",
"(1,805)","(1,086)","(1,805)","(1,086)"
"(991,693)","(1,005,467)","(991,693)","(1,004,538)"
"5,436,222","4,532,295","3,780,228",
