USD,Euro,GBP,Other,Total
"4,505",577,499,221,"5,802"
"28,772","3,426",723,-,"32,921"
"2,387","1,290",677,443,"4,797"
"45,902","4,315","3,828",448,"54,493"
"81,566","9,608","5,727","1,112","98,013"
178,16,-,-,194
"77,954","8,259","5,473",426,"92,112"
"3,605",191,254,25,"4,075"
"8,481",-,-,4,"8,485"
"90,218","8,466","5,727",455,"104,866"
"(8,652)","1,142",-,657,"( 6,853)"
