Areas of expertise,Column,"Date of
Appointment"
"Banking, Financial Management and Human
Resources",Independent Non-Executive Female,10 February 2020
Information Technology,Independent Non-Executive Female,1 January 2016
Financial Management and Investments,Independent Non-Executive Male,22 August 2018
Economics,Independent Non-Executive Male,28 January 2020
"Technology, Innovation and Digital Strategies",Independent Non-Executive Female,22 July 2021
Banking and Financial Management,Non-Executive Male,25 September 2017
"Banking, Credit and Risk Management",Non-Executive Female,15 December 2020
Banking and Financial Management,Executive Male,4 March 2019
Banking and Financial Management,Executive Female,1 March 2007
"Operations, Technology and Risk Management",Executive Male,30 April 2020
Banking and Financial Management,Executive Male,22 July 2021
