"2024
KShs '000","2023
KShs '000","2024
KShs '000"
"384,485","378,642","384,485"
"1,036,141","983,286","1,036,141"
–,"76,120",–
"301,244",–,"301,244"
490,20,490
"25,034","24,775","25,034"
"377,986","297,270","377,986"
"26,024","25,262","24,088"
"19,016","19,016","19,016"
,"3,363",
"12,332",,"12,332"
