2025,Column,Column,Column,Column,Column,Column,Column
"Weighted
average
effective
interest
rate (%)
KShs'000","On Demand
KShs'000","Up to
1 month
KShs'000","1 – 3
months
KShs'000","3 – 12
months
KShs'000","1 – 5
years
KShs'000","Over
5 years
KShs'000","Total
KShs'000"
12.30%,–,"58,719",327,"13,830","559,279","9,853,015","10,485,170"
0.01%,"740,884",,–,–,–,–,"740,884"
15.40%,–,"25,102,547","184,670","3,839,671","50,061,769","37,550,326","116,738,983"
5.40%,–,–,"5,699,677",–,–,–,"5,699,677"
10.10%,–,"6,480,930","30,100,938","60,319,957",–,–,"96,901,825"
3.7%,–,"19,286,853",–,"3,239,515","43,459,196",–,"65,985,564"
,"740,884","50,929,049","35,985,612","67,412,973","94,080,244","47,403,341","296,552,103"
9.80%,–,"1,000,244",–,–,–,–,"1,000,244"
1.30%,"42,636,612","860,790","2,430,097","12,258,971","607,780",–,"58,794,250"
,"42,636,612","1,861,034","2,430,097","12,258,971","607,780",-,"59,794,494"
,"(41,895,728)","49,068,015","33,555,515","55,154,002","93,472,464","47,403,341","236,757,609"
