"11,847 11,433"
442 442
394 394
– –
39 39
3 3
55 55
– –
(73) (74)
"(4,913) (4,913)"
"3,110 3,110"
203 203
"(1,280) (1,280)"
"5,668 5,668"
"10,889 11,248"
70 71
"2,215 2,211"
"10,935 10,935"
(266) (266)
– 145
(115) (115)
(30) (30)
389 396
