"2025
KShs '000","2024
KShs '000","2025
KShs '000"
"16,836,694","28,208,236","16,414,028"
"(6,764,856)","(7,428,445)","(6,764,856)"
"(4,818,794)","13,380,270","(4,811,304)"
"(17,630,619)","(52,404,561)","(17,603,631)"
"(12,377,575)","(18,244,500)","(12,765,763)"
"(6,175,734)","(5,880,569)","(5,499,178)"
"(18,553,309)","(24,125,069)","(18,264,941)"
"(315,454)","(678,385)","(315,454)"
"230,000","23,160","230,000"
"4,200",-,"4,200"
"(824,243)","(1,779,219)","(824,243)"
"(905,497)","(2,434,444)","(905,497)"
"(123,841)","(101,763)","(123,841)"
"(227,574)","(176,382)","(227,574)"
"(13,980,472)","(8,690,564)","(13,980,472)"
"(3,022,805)","(3,022,805)","(3,022,805)"
"(84,230)","(84,690)","(84,230)"
"(83,310)","(83,770)","(83,310)"
"(17,522,232)","(12,159,974)","(17,522,232)"
"(36,981,038)","(38,719,487)","(36,692,670)"
"72,658,953","111,378,440","73,522,275"
"35,677,915","72,658,953","36,829,605"
"33,190,052","38,912,554","33,190,052"
"(3,933,610)","(5,636,626)","(3,936,477)"
-,-,"938,766"
