2024,Column,Column,Column
"Corporate and
Investment
Banking","Wealth and
Retail Banking","Central and
Other items",Total
"13,511,712","16,596,143","3,134,952","33,242,807"
"12,106,165","6,461,909","(2,498,620)","16,069,454"
"25,617,877","23,058,052","636,332","49,312,261"
"(8,384,115)","(10,829,801)","(184,347)","(19,398,263)"
"17,233,762","12,228,251","451,985","29,913,998"
"(635,481)","(1,110,646)","(17,483)","(1,763,610)"
"(112,230)","(136,198)","(52,816)","(301,244)"
"16,486,051","10,981,407","381,686","27,849,144"
